Name,Surname,Phone,Remarks
Tracy,Barnes,1(302)013-86-79,Perris
James,Berry,1(302)978-88-65,Santa Clara
Marlene,Wong,1(302)140-70-44,Waltham
Danny,Thomas,1(302)743-35-42,Perth Amboy
Barbara,Robinson,1(302)741-04-98,Florence
Sharon,Allen,1(302 035-19-84,Baltimore
Patricia,Montgomery,1(302)790-68-98,Nashua
Duane,Briggs,1(302 922-55-55,Grapevine
Walter,Jones,1(302 014-66-54,Montebello
Martha,White,1(302)288-25-51,Niagara Falls
Eugene,Terry,1(302)397-16-96,Lake Elsinore
Clarence,Herrera,1(302)423-80-10,Fountain Valley
Judy,Bates,1(302)457-91-25,Bullhead City
Michael,Collins,1(302)385-45-76,Mansfield
Margaret,Jennings,1(302)315-85-04,Terre Haute
Norma,Taylor,1(302)271-14-53,Covington
Kimberly,Garcia,1(302)689-77-17,Kingsport
Martin,Ramirez,1(302)437-64-70,Iowa City
Tyrone,Love,1(302)314-89-06,Hollywood
Nathan,Marshall,1(302)477-25-88,Bellevue
